_id,BIN,SumAREA,WMeanAREA,MaxAREA,MaxVIEWS,MaxSOLAR,WMeanVIEWS,WMeanSOLAR,WMeanCOMPACTNESS,MaxWIDTH,HEIGHTROOF,YEAR,NAME,BBL,LandUseString,ASPECT,SUBWAY800,SUBWAY400,SBIN
9020,1015026,49304.04,3792.66,3810.42,8.86,6.96,40.29,0.63,0.94,43.11,151.18,1911,,1008010065,RESIDENTIAL,SIDEBLOCK,4,1,S1015026
9021,1015027,60923.67,6092.37,6092.37,1.35,1.09,29.5,0.11,0.99,69.36,116.7,1922,,1008017502,MIXED,SIDEBLOCK,4,1,S1015027
9022,1015028,43195.53,10798.88,10806.96,0.83,0,23.26,0,0.98,99.64,228.833229,2010,,1008010071,COMMERCIAL,SIDEBLOCK,4,1,S1015028
9023,1015029,30327.29,4332.47,4332.47,2.05,1.13,36.63,0.34,0.92,44.78,72.73,1920,,1008020001,RESIDENTIAL,CORNERBLOCK,4,2,S1015029
9024,1015030,8869.45,2217.36,2217.36,0.35,0.12,9.73,0.12,0.8,24.21,46.08,1920,,1008020003,MIXED,SIDEBLOCK,4,2,S1015030
9025,1015031,10177.27,2035.67,2077.43,0.58,0.25,10.72,0.14,0.78,22.28,46.81,1920,,1008020004,MIXED,SIDEBLOCK,4,2,S1015031
9026,1015032,39960.98,3632.82,3632.82,3.44,3.59,58.81,0.9,0.91,39.17,135.32,1907,,1008027502,MIXED,SIDEBLOCK,4,1,S1015032
9027,1015033,23384.57,3897.39,3901.91,0.76,0.14,17.43,0.02,0.91,44.78,70.61,1920,,1008020006,RESIDENTIAL,SIDEBLOCK,4,2,S1015033
9028,1015034,158027.51,13168.99,13199.23,2.65,2.42,49.27,0.71,0.89,92.06,152.94,1911,,1008020008,INDUSTRIAL,SIDEBLOCK,4,1,S1015034
9029,1015035,19299.67,2757.07,2766.32,1.04,0.2,19.4,0.03,0.88,31.56,76.08,1925,,1008020014,INDUSTRIAL,SIDEBLOCK,4,1,S1015035
9030,1015036,57651.45,4434.73,4434.73,7.49,6.21,44.23,0.89,0.96,50.66,151.81,1909,,1008020019,INDUSTRIAL,SIDEBLOCK,4,1,S1015036
9031,1015037,83291.06,6940.89,6942.72,7.51,1.72,45.77,0.32,0.96,82.22,153.51106,1912,,1008020022,INDUSTRIAL,SIDEBLOCK,4,1,S1015037
9032,1015038,68070.9,2836.29,2841.67,30.9,3.04,213.77,1.28,0.84,51.9,240.820278,2006,,1008020026,COMMERCIAL,SIDEBLOCK,4,1,S1015038
9033,1015039,25690.74,3670.17,3683.94,0.74,0.11,20.17,0.03,0.9,45.31,65.13,1926,,1008020029,INDUSTRIAL,SIDEBLOCK,4,2,S1015039
9034,1015040,47737.9,4339.79,4348.62,1.6,1,30.39,0.25,0.95,48.62,141.44,1910,,1008020031,RESIDENTIAL,SIDEBLOCK,4,2,S1015040
9035,1015041,12141.68,2428.34,2432.64,0.36,0,9.88,0,0.84,27.17,56.16,1920,,1008027503,MIXED,SIDEBLOCK,4,3,S1015041
9036,1015042,17152.27,2450.4,2459.55,1.15,0.46,27.7,0.21,0.79,24.21,78.71,1904,,1008020035,RESIDENTIAL,CORNERBLOCK,5,3,S1015042
9037,1015045,271394.3,9105.18,12841.33,34.63,5.65,265.82,1,0.86,92.09,302.83,2000,,1008020036,MIXED,CORNERBLOCK,5,2,S1015045
9038,1015046,10161.12,1693.48,1695.31,2.06,0.53,34.64,0.18,0.9,26.15,61.54,1905,,1008020045,MIXED,CORNERBLOCK,5,3,S1015046
9039,1015047,64325.07,5360.42,5360.42,3.05,1.39,48.09,0.22,0.98,59.45,151.08,1909,,1008020049,COMMERCIAL,SIDEBLOCK,5,2,S1015047
9040,1015048,28680.41,3585.02,3589.76,0.88,0.22,16.88,0.03,0.92,40.03,80.28,1907,,1008020050,INDUSTRIAL,SIDEBLOCK,5,2,S1015048
9041,1015049,45854.21,3821.18,3821.18,2.65,0.52,26.63,0.17,0.94,42.91,151.05,1907,,1008020052,RESIDENTIAL,SIDEBLOCK,5,2,S1015049
